word,dsocial science,dengineering,dmedicine,d-lifescience
Bulimia nervosa,0,2,1,1
Guidelines,0,3,1,0
Gene,0,2,2,0
Simple reaction time,1,2,1,0
Alprazolam,0,1,1,2
Postoperative cognitive dysfunction,2,0,2,0
Listening,1,0,3,0
Bodies,0,0,3,1
Extended mind,0,1,2,1
Sequence learning,0,2,2,0
Ambiguity,1,1,2,0
PASAT,1,1,2,0
Emotional facial expressions,0,1,3,0
Healthy subjects,2,1,1,0
Action comprehension,0,1,1,2
First-episode,1,0,3,0
Weber's law,2,1,1,0
n-back task,2,0,0,2
Simon task,0,1,2,1
Response bias,1,1,2,0
Dentate gyrus,0,2,1,1
Single photon emission computed tomography,2,1,1,0
Nicotinic receptors,3,0,1,0
Locked-in syndrome,1,1,2,0
cognitive rehabilitation,1,0,2,1
gaze following,0,2,1,1
Pop-out,0,2,2,0
Cognitive intervention,0,0,3,1
Mindfulness,0,2,0,2
Tools,1,2,1,0
Work,0,3,1,0
Word,1,1,1,1
Acetylcholinesterase,0,1,3,0
Brain tumour,1,1,1,1
Statistical inference,0,2,0,2
SPM,4,0,0,0
intention,1,1,2,0
Writing,1,2,0,1
Mild Cognitive Impairment,0,1,3,0
Default-mode network,1,1,1,1
Physical cognition,0,0,4,0
Innovation,1,1,2,0
Affective priming,1,0,3,0
epidemiology,1,1,2,0
Light,2,1,1,0
FFA,2,2,0,0
Contralateral delay activity,1,0,3,0
frontal cortex,1,0,3,0
Voluntary action,1,3,0,0
Colour perception,2,0,2,0
Practice,1,0,1,2
Mindreading,1,1,2,0
anterior cingulate cortex,0,3,1,0
FDG-PET,2,1,1,0
Fixational eye movements,1,0,3,0
Events,1,2,1,0
Antiepileptic drugs,0,2,2,0
SEM,0,2,1,1
Strabismus,0,2,1,1
Haloperidol,2,1,1,0
Context processing,2,0,1,1
Glucose metabolism,2,0,2,0
Computational neuroscience,0,2,2,0
Lexical processing,0,2,2,0
Risk assessment,2,0,2,0
Representational neglect,1,0,2,1
Schizophrenic,0,2,2,0
Dance,1,1,2,0
Brainstem,2,1,1,0
Cross-modal integration,0,1,1,2
cerebellum,0,1,2,1
Visual extinction,0,2,2,0
Gray matter,1,0,2,1
Visual language,1,1,2,0
Reversal,1,0,2,0
Facial affect recognition,1,1,2,0
cerebrovascular disease,2,2,0,0
Color vision,1,2,1,0
Computer simulation,0,1,3,0
LPC,0,2,2,0
body image,0,1,3,0
Coma,0,3,0,1
Phenotype,1,0,3,0
Construct validity,0,1,3,0
Complex regional pain syndrome,0,2,2,0
SLORETA,0,2,1,1
Bipolar,1,0,3,0
Interpretation bias,1,1,1,1
Optic ataxia,1,2,1,0
Spina bifida,0,0,4,0
Incentive salience,1,1,2,0
Occipital,2,2,0,0
Alpha band,1,1,1,1
Arachidonic acid,0,1,3,0
Sensitivity and specificity,2,0,2,0
Norepinephrine,0,1,3,0
VEPs,1,1,2,0
Attitude,1,1,1,1
Toddlers,1,1,1,1
inhibition,2,2,0,0
Cortical development,0,2,2,0
Ethics,0,3,1,0
Gambling,0,1,2,1
Visual motion perception,1,1,2,0
Attention deficits,0,2,1,1
Callithrix jacchus,1,1,2,0
Kinematics,1,2,1,0
Bipolar II disorder,0,2,2,0
Brain concussion,0,0,4,0
Top-down modulation,0,3,1,0
Risk communication,1,0,3,0
PVSAT,0,2,2,0
Language and thought,1,1,2,0
Go/no-go task,2,0,1,1
Evoked response,2,0,1,1
meta-analysis,1,0,3,0
Cortical reorganization,1,1,2,0
Domain specificity,0,2,2,0
Neurocognitive functions,1,1,2,0
Relapse,0,2,2,0
Serial reaction time task,0,2,2,0
Contrast illusions,0,4,0,0
Microsaccades,0,1,3,0
Information,2,1,1,0
ASL,2,0,1,1
Odor,0,0,2,2
Narrative,1,2,1,0
Levodopa,0,3,1,0
Mirror system,0,1,2,1
MATRICS,1,2,1,0
Visuospatial functions,2,0,1,1
Experimental design,1,3,0,0
High altitude,0,1,2,1
Computational models,1,0,3,0
Caudate,1,1,2,0
Mentalization,0,1,3,0
Transcranial Doppler,0,0,4,0
Positron-emission tomography,1,2,1,0
Meta-cognition,0,1,3,0
Concussions,1,3,0,0
Comics,1,1,2,0
treatment,0,2,2,0
Interface design,0,1,3,0
Prepulse inhibition,0,3,1,0
Continuous flash suppression,1,0,3,0
Spatial behavior,0,2,1,1
Visual rating,1,1,2,0
Approach bias,0,2,2,0
Surprise,0,2,2,0
Canine,1,2,1,0
CREB,0,0,3,1
Dietary restraint,1,2,1,0
Ischemic stroke,0,1,2,1
Neurological,1,1,1,1
Cochlear implants,1,2,1,0
Motion sickness,0,0,3,1
Rett syndrome,1,1,2,0
Axonal injury,0,4,0,0
Parahippocampal cortex,0,2,2,0
Striate cortex,0,1,2,1
Recognition of facial expressions,0,1,3,0
Saccadic eye movement,0,0,3,1
Discriminant analysis,0,1,1,2
Type 2 diabetes,0,2,2,0
Macular pigment,0,3,1,0
Remediation,1,1,2,0
Eriksen flanker task,2,0,2,0
Clinically isolated syndrome,0,2,1,1
Health and Development",0,0,0,0
Glaucoma,1,0,3,0
cognitive ability,1,0,2,1
Brain polarization,0,3,1,0
Auditory processing,0,0,3,1
Mental health,1,1,2,0
MoCA,1,2,0,1
Cognitive complaints,1,1,2,0
Visual tracking,0,3,0,1
Randomized controlled trial,2,1,1,0
Shared attention,0,1,0,3
Tolerability,0,2,0,2
Hypersomnia,0,2,1,1
epilepsy,0,3,1,0
biomarkers,3,0,0,1
Freezing of gait,1,0,2,1
Neuroanatomy,1,0,3,0
Driving performance,0,2,1,1
Oculomotor capture,1,0,2,1
Functional,0,1,3,0
MRS,1,1,2,0
bipolar disorder,1,2,1,0
Fetal alcohol syndrome,1,1,2,0
Oldest old,1,1,2,0
Computer vision,1,1,2,0
Somatosensory cortex,0,1,3,0
Perceptual bias,1,3,0,0
Autonomic dysfunction,2,0,2,0
cognition disorders,1,2,1,0
Visual oddball task,1,0,3,0
Cingulate,2,1,1,0
Capuchin monkeys,0,3,1,0
motivation,1,1,2,0
white matter disease,0,3,1,0
Visual-spatial processing,1,2,1,0
Relational,1,2,1,0
anorexia nervosa,0,2,2,0
First-episode psychosis,0,1,3,0
Attention deficit hyperactivity disorder (ADHD),1,2,0,1
Visuomotor priming,0,0,3,1
Memory consolidation,1,1,1,1
Sensorimotor adaptation,1,1,2,0
representation,1,1,1,1
Face inversion effect,0,1,3,0
Amyloid,1,1,1,1
Time estimation,1,3,0,0
Audio-visual,1,0,2,1
Spinal cord injury,0,2,2,0
Minimally conscious state,2,1,1,0
Neurogenesis,1,3,0,0
Sex difference,2,1,1,0
Bipolar I disorder,0,2,2,0
Symmetry,2,0,2,0
EEG coherence,0,0,3,1
Outcome measures,0,3,1,0
Autonoetic consciousness,2,1,1,0
Transplantation,1,2,1,0
reversal learning,1,1,1,1
Dual-task performance,0,1,1,2
executive functioning,0,0,3,1
Dyscalculia,1,0,2,1
Semantic knowledge,0,4,0,0
Intentions,0,4,0,0
Body mass index,1,1,1,1
Invisible displacement,0,1,2,1
Visuo-spatial memory,1,1,2,0
Dual diagnosis,0,2,2,0
Congruency,0,1,3,0
virtual reality,0,0,3,1
Tremor,1,1,2,0
Animation,0,0,3,1
Art therapy,1,1,2,0
Delusion,0,1,2,1
Mindlessness,1,0,1,2
Visual association cortex,1,2,1,0
Construal level,2,0,2,0
Paediatric,1,1,0,1
Histamine,0,2,2,0
Avian cognition,0,3,0,1
Hypothalamic hamartoma,0,0,4,0
Efficacy,2,0,2,0
Long-term care,0,0,4,0
Differential diagnosis,0,1,3,0
motor skills,0,3,0,1
decision making,0,2,1,1
Hand posture,0,0,4,0
Microsaccade,1,0,2,1
N300,1,2,1,0
Abstract concepts,1,1,2,0
Morphometry,0,1,3,0
Body ownership,1,0,0,3
Attentional focus,1,1,2,0
saccades,1,0,3,0
Visuo-spatial working memory,0,0,4,0
tACS,1,1,1,1
Y-maze,1,2,0,1
Fitness to drive,1,0,2,1
Neural oscillations,1,1,2,0
Abstinence,3,0,1,0
Visuospatial perception,0,2,0,2
Interactivity,2,0,1,1
Binge drinking,1,0,2,1
Quantity judgments,0,3,1,0
Geriatric assessment,1,0,1,2
Reorientation,1,1,2,0
Chronic kidney disease,2,1,1,0
Myelination,0,0,4,0
Distractor processing,1,0,3,0
Event-related oscillations,1,1,2,0
Flicker paradigm,2,0,1,1
Affect recognition,1,2,1,0
semantic memory,2,1,0,1
Sensemaking,1,0,3,0
Serial learning,0,1,3,0
Self-consciousness,0,1,2,1
atrophy,2,0,2,0
Food cues,2,0,2,0
Temporal order judgment,1,0,2,1
Social learning,1,0,3,0
Emergence,1,2,1,0
Older adult,2,1,1,0
Friedreich ataxia,2,0,2,0
Apes,1,2,1,0
Intrusions,3,0,1,0
Diffuse axonal injury,1,1,2,0
Artificial grammar learning,0,3,0,1
cognitive processes,1,2,0,1
Psychometric,1,2,0,1
Pitch,0,2,1,1
Chronic schizophrenia,0,2,2,0
Moral cognition,1,0,3,0
Vserossi?skoe obshchestvo nevrologov [i] Vserossi?skoe obshchestvo psikhiatrov",0,0,0,0
comorbidity,0,2,1,1
design cognition,0,1,3,0
Attention deficit/hyperactivity disorder,0,2,2,0
Sensation,1,2,0,1
Cerebrospinal fluid,0,1,3,0
Brain lesion,1,1,0,2
Episodic retrieval,1,1,2,0
Tactile perception,0,1,1,2
psychometrics,1,1,2,0
Retention,1,2,1,0
Pedophilia,0,1,3,0
Diabetes,1,2,1,0
Social cognitive neuroscience,1,1,1,1
VSTM,0,0,2,1
Moral judgment,1,1,0,1
Patient-centered care,1,0,2,0
Traffic engineering,2,0,0,1
MT+,1,2,0,0
Resting state functional connectivity,2,1,0,0
Bipolar disorders,0,1,2,0
Metarepresentation,1,1,1,0
Visual-motor,0,0,3,0
Alpha rhythms,2,1,0,0
cognitive map,0,1,2,0
Reference values,0,1,2,0
Conscious perception,1,1,1,0
Proton magnetic resonance spectroscopy,1,1,1,0
Ginseng,1,0,2,0
women,0,1,1,1
LAN,3,0,0,0
Tactile spatial acuity,0,1,2,0
Escitalopram,1,0,1,1
Sexual orientation,0,1,2,0
scopolamine,2,0,0,1
Intrusive memories,0,1,2,0
REM sleep behavior disorder,0,1,2,0
functional magnetic resonance imaging (fMRI),0,3,0,0
Assistive technology,2,1,0,0
Self-referential processing,0,2,1,0
Grip force,0,0,3,0
Automatization,1,0,2,0
Depth,0,1,1,1
Visual arrays,1,1,1,0
headache,0,1,2,0
Precision,0,3,0,0
older drivers,0,0,2,1
Older persons,2,0,1,0
Dorsal visual stream,3,0,0,0
Perceived similarity,0,3,0,0
Facial emotions,1,0,2,0
Intrinsic connectivity networks,1,0,1,1
color perception,0,1,1,1
NMDA receptors,0,0,2,1
HIV infection,0,1,2,0
Cognitive bias modification,0,2,1,0
Primary insomnia,1,0,1,1
Low Back Pain,0,1,1,1
Vocational rehabilitation,0,2,0,1
Pig,0,1,1,1
PiB,2,0,0,1
Speech recognition,1,1,1,0
Quantity discrimination,0,2,1,0
visual system,1,1,0,1
Emotional words,1,0,2,0
Holistic perception,0,1,2,0
Working-memory,0,0,1,2
Welfare,0,1,2,0
white matter hyperintensity,1,0,2,0
Pervasive developmental disorder,0,1,1,1
Relational learning,1,0,2,0
Cognitive model,1,1,1,0
IOR,1,2,0,0
Global/local processing,2,0,1,0
Motor adaptation,0,1,2,0
Early childhood,1,0,2,0
Cingulum bundle,0,1,1,1
Hierarchical network,0,2,1,0
Fetal alcohol spectrum disorders,0,1,1,1
neurocognitive function,0,0,3,0
Mild traumatic brain injuries,0,2,1,0
Painting,0,1,2,0
Oscillatory activity,0,0,2,1
cytokines,2,0,1,0
Trail making test,1,1,1,0
Great apes,0,3,0,0
Cross-modal attention,1,0,2,0
Pupil diameter,0,2,0,1
Rating scales,0,1,1,1
Prosaccade,0,0,2,1
linguistic relativity,2,0,1,0
Perception-action coupling,0,2,1,0
Cognitive engineering,0,1,2,0
Association,2,1,0,0
Spatial abilities,1,0,2,0
white matter hyperintensities,0,2,1,0
factor analysis,2,1,0,0
Visual landmarks,1,1,0,1
Motor impairment,0,2,1,0
Macular degeneration,0,1,2,0
Unilateral spatial neglect,1,2,0,0
Substance use disorders,0,0,1,2
Phenylketonuria,0,0,3,0
Cognitive conflict,1,1,1,0
Spectrum,0,2,1,0
oscillations,0,1,2,0
Gender difference,0,2,0,1
perceptual grouping,1,0,1,1
Topological properties,1,1,1,0
Siblings,1,1,1,0
Recalibration,1,1,1,0
Cognitive symptoms,1,1,1,0
Concentration,0,3,0,0
Postmenopause,0,1,2,0
Transgenic mice,0,2,0,1
Corticospinal tract,0,3,0,0
Pedagogy,1,1,1,0
Psychopathy,2,0,1,0
movement,1,2,0,0
Fine motor skills,0,1,2,0
Mismatch,1,0,1,1
geriatric,1,1,1,0
Posterior cingulate cortex,0,2,1,0
Choline,0,2,1,0
Area 7a,0,1,2,0
Novelty P3,0,1,2,0
Velo-cardio-facial syndrome,0,1,2,0
Non-smoker,0,2,0,1
Pupil size,0,1,2,0
AMPA receptor,0,1,2,0
Body-ownership,1,2,0,0
Cognitive speed,0,2,1,0
FRN,0,0,3,0
Locus coeruleus,0,1,2,0
mirror neuron system,0,2,1,0
multisensory integration,0,3,0,0
Learning disability,0,2,0,1
Physical therapy,0,2,1,0
neuroscience,0,1,2,0
Socioeconomic status,1,1,1,0
person perception,1,2,0,0
blindness,0,2,1,0
Infant perception,0,0,1,2
Letter identification,0,3,0,0
Perception/action,1,2,0,0
CP,0,1,0,2
Functional brain networks,1,0,1,1
Realism,0,1,1,1
Early-onset,0,2,1,0
Cohort study,2,1,0,0
Irritable bowel syndrome,2,1,0,0
crowding,3,0,0,0
Orthostatic hypotension,0,0,2,1
Biofeedback,1,0,2,0
Enactivism,1,0,2,0
Satiety,1,2,0,0
Object location memory,1,0,2,0
Pain perception,2,0,1,0
Cognitive status,1,1,1,0
mathematical cognition,0,0,3,0
Occipital face area,0,1,2,0
Manganese,0,3,0,0
Emotional state,0,1,2,0
short-term memory,0,0,2,1
Ants,1,1,1,0
Finger counting,1,1,1,0
Alexia,0,1,0,2
Temporal prediction,0,2,1,0
perspective taking,1,1,1,0
Theory of visual attention,0,1,2,0
Subtraction,1,0,1,1
Self-other,1,0,2,0
Gross anatomy education,0,0,3,0
Orientation perception,0,1,1,1
Brain metastases,1,0,1,1
Analog magnitudes,2,1,0,0
Middle-age,0,1,2,0
Mating,1,1,0,1
Mini-Mental State Examination (MMSE),1,0,2,0
Probabilistic reasoning,1,0,2,0
Single-trial analysis,0,2,0,1
questionnaire,0,2,1,0
Temporoparietal junction,0,1,1,1
Repetition effects,0,1,0,2
Dopamine transporter,1,1,1,0
Relational memory,0,1,1,1
visual analytics,0,1,2,0
Morality,1,1,0,1
Sensory-motor integration,2,0,0,1
Autism spectrum conditions,0,1,1,1
Esthetics,0,2,0,1
Resting-state networks,0,1,2,0
Standardization,1,1,0,1
Time production,1,0,1,1
Adjuvant chemotherapy,1,0,1,1
Neural computation,1,0,1,1
Prototype,1,0,2,0
Sleep disordered breathing,1,0,2,0
Functional recovery,1,1,0,1
cognitive flexibility,0,1,2,0
Perceptual decision-making,0,0,2,1
Superior temporal gyrus,0,3,0,0
Spatial configuration,1,0,1,1
Tobacco,0,0,1,2
Visual-spatial cognition,0,2,1,0
Emotion-cognition interaction,0,1,0,2
Connectionist modeling,0,1,2,0
Rhesus,0,1,0,2
Temporal dynamics,0,1,1,1
Muscarinic,1,1,0,1
central coherence,0,1,2,0
Eyewitness,2,0,1,0
Functional near-infrared spectroscopy,0,0,2,1
Extended cognition,0,1,2,0
adolescence,0,0,2,1
Visual recognition memory,0,3,0,0
Sexual preference,0,0,2,1
Automatic,1,1,1,0
Visuo-spatial ability,2,0,1,0
cortical thickness,0,0,1,2
Proximity,0,1,2,0
Triggered reactions,1,0,2,0
Nerve regeneration,0,0,2,1
Efference copy,2,0,0,1
Causal learning,2,0,1,0
learning and memory,0,3,0,0
Posturography,0,2,1,0
Sadness,0,1,2,0
Affective processing,1,1,1,0
Phonological loop,0,1,1,1
Ecological approach,1,0,1,1
African Americans,0,2,1,0
Advertising,0,1,1,1
Valproate,1,1,1,0
VLBW,0,0,2,1
Visual habituation,0,1,2,0
Anterior temporal lobe,2,0,1,0
Network,2,0,1,0
Reading speed,0,2,1,0
Neurophenomenology,1,1,1,0
Recurrence quantification analysis,0,2,1,0
impulsivity,0,2,1,0
Cognitions,0,1,2,0
Neural synchrony,1,1,1,0
semantic dementia,1,1,0,1
Auditory modality,0,1,2,0
heart rate,2,0,1,0
Auditory event-related potentials,1,1,1,0
Disability evaluation,0,2,1,0
Brain aging,0,1,2,0
Students,2,0,1,0
Cross-modal processing,0,0,3,0
Autoradiography,1,1,0,1
RSA,0,2,1,0
Somatosensation,0,2,1,0
Abuse,0,1,1,1
Stroke rehabilitation,0,0,3,0
Behavior and Evolution",0,0,0,0
Tract-based spatial statistics,1,1,1,0
Functional decline,1,1,0,1
Academic performance,0,2,1,0
Multivariate,0,1,1,1
posterior cortical atrophy,2,1,0,0
Cortical excitability,1,1,1,0
Semiotics,1,0,2,0
Linguistic processing,0,0,3,0
Evaluative priming,1,2,0,0
Species differences,2,1,0,0
validity,0,2,0,1
Self-face recognition,1,1,1,0
Language evolution,0,2,1,0
Principal component analysis,0,0,3,0
Action priming,0,2,1,0
Brain volume,1,0,2,0
Cognitive recovery,1,0,2,0
Contextual cueing,0,1,2,0
Glycine,1,1,1,0
Nonverbal communication,0,2,1,0
Hypnotic susceptibility,1,0,2,0
Conservation,0,2,1,0
Mental state attribution,1,1,1,0
psychophysics,0,0,3,0
Apparent motion,1,0,2,0
occupational therapy,1,0,2,0
Theory-of-mind,1,1,1,0
Perceptual categorization,2,0,1,0
Neurobehavioral assessment,0,2,1,0
Mind wandering,1,1,0,1
Drug abuse,0,0,3,0
Depressive disorder,1,1,0,0
Sequencing,1,2,0,0
Lexical decision task,2,1,0,0
cerebral palsy,1,1,1,0
classification,0,2,1,0
Human-robot interaction,0,1,2,0
Long-term potentiation,0,2,0,1
Anticholinergic drugs,1,1,0,1
Cuing,0,0,2,1
Shaping,1,2,0,0
Focused attention,0,2,1,0
Depressive disorders,1,1,0,1
Visual pathway,0,1,2,0
Androgen deprivation,0,1,2,0
dengineering receptor,1,0,2,0
Newborn,1,1,0,1
cognitive dysfunction,0,2,1,0
Ultra-high risk,0,0,3,0
Autism Spectrum Disorder,0,3,0,0
Cat,0,1,1,1
Prenatal exposure,0,3,0,0
Parahippocampus,2,1,0,0
ALE,0,3,0,0
corpus callosum,0,1,1,1
Air pollution,0,1,2,0
Academic achievement,0,0,1,2
Sleep-disordered breathing,0,1,0,2
Morphine,1,0,2,0
Social information processing,1,2,0,0
Neurotrophins,0,0,3,0
Luminance,0,0,3,0
Phase synchronization,0,1,2,0
Exposure,1,0,1,1
Socialisation,0,1,1,1
Early diagnosis,0,0,3,0
Mental models,0,1,2,0
Eating,1,0,2,0
Family study,1,0,2,0
Steady-state probe topography (SSPT),1,1,1,0
Gerontologicheskoe obshchestvo",0,0,0,0
Neuropsychiatric lupus,0,3,0,0
Cognitive reactivity,0,1,2,0
Testimony,1,0,1,1
Solidity,2,0,0,1
Language/speech,1,0,2,0
Vegetative state,1,2,0,0
Ventrolateral prefrontal cortex,0,1,2,0
Breast neoplasms,3,0,0,0
Human vision,0,2,0,1
Apolipoprotein E gene,1,1,1,0
Metabolic syndrome,0,1,2,0
Frame of reference,0,2,0,1
outcome,0,1,2,0
counting,0,2,1,0
pediatric,2,0,1,0
Gasoline,2,0,0,1
Prehension,1,0,2,0
Clinical trials,0,1,2,0
visual function,0,2,0,1
Neurobiology,0,1,1,1
ADL,0,0,3,0
response inhibition,1,1,1,0
unconscious cognition,1,0,1,1
Numerical representation,1,0,1,1
Alerting,0,2,1,0
Computer,1,0,1,1
Visual communication,2,0,1,0
Hyperthermia,2,0,1,0
Expressive suppression,2,1,0,0
cognitive load,0,1,2,0
Spatial Working Memory,1,2,0,0
Japanese,0,1,1,1
Action prediction,0,3,0,0
Remapping,1,1,0,1
Reference,1,1,1,0
Memory training,0,0,2,1
Forgetting,1,1,1,0
Animal behavior,2,0,1,0
Selective partial GABA agonist,0,1,1,1
Combined effects,0,1,1,1
Endogenous attention,0,0,3,0
Semantic categories,1,1,1,0
Visuomotor adaptation,0,2,0,1
Rationality,1,0,2,0
Emotion expression,0,0,3,0
Touch-screen,0,1,1,1
Visual information processing,1,0,2,0
Representation of space,2,0,1,0
Birth weight,0,1,1,1
Cardiovascular risk factors,1,1,1,0
Individual recognition,0,2,1,0
Sensation/perception,2,0,1,0
Paired associates learning,0,2,1,0
Visual learning,2,1,0,0
Activity,0,1,2,0
Distance perception,0,1,2,0
Pramipexole,0,2,1,0
Property verification,0,0,3,0
Adaptive memory,0,1,1,1
Face-processing,0,2,1,0
Eyewitness memory,0,2,0,1
Bivalent stimuli,1,1,1,0
Hypersociability,0,0,2,1
Mimicry,1,2,0,0
Hypoglycemia,0,1,2,0
Doppler,1,2,0,0
Partial least squares,2,0,1,0
Lipoproteins,0,1,2,0
Psychosocial function,0,0,3,0
Metacontrast masking,0,2,0,1
Unconscious cognition,1,1,1,0
Translation,0,2,1,0
dorsolateral prefrontal cortex,0,0,3,0
Parametric design,0,2,1,0
Preterm children,3,0,0,0
Constructional apraxia,1,0,1,1
Face matching,0,0,2,1
Pervasive developmental disorders,0,0,3,0
Neurochemistry,0,1,2,0
Human locomotion,0,2,1,0
Sensory memory,1,0,2,0
Errors,0,0,1,2
Presbycusis,0,0,3,0
Shift work,0,0,3,0
Cognitive inhibition,0,1,2,0
Chemobrain,0,2,0,1
Child molestation,0,1,2,0
Multimorbidity,3,0,0,0
Object tracking,2,0,0,1
PRP,2,0,1,0
Feedback processing,0,2,1,0
Irony,0,1,2,0
Spanish,1,1,1,0
delusions,1,0,1,1
Population-based,0,1,1,1
Childhood epilepsy,0,2,1,0
Autoantibodies,0,1,2,0
Concurrent validity,0,0,2,1
Dual tasking,0,1,2,0
novel object recognition,0,1,2,0
NMDA antagonist,1,1,1,0
Lifespan,2,1,0,0
Neuropsychological performance,0,0,3,0
Texture,0,1,2,0
Neuroprotection,1,2,0,0
Sound symbolism,0,2,1,0
Anterior temporal lobectomy,0,2,0,1
Nonverbal behavior,0,1,2,0
Exclusion,1,2,0,0
estrogen,1,1,1,0
Erps,1,1,1,0
Global processing,1,0,2,0
Catechol-O-methyltransferase,0,1,2,0
Internet,2,0,1,0
conflict,2,0,1,0
Taste,0,1,0,2
Software,1,1,1,0
Emotional prosody,0,2,1,0
Brain reserve,0,3,0,0
Interhemispheric transfer,1,0,2,0
Self-efficacy,1,0,1,1
Emotional valence,1,0,1,1
Visuoperception,0,1,2,0
Action representation,0,2,0,1
REM,0,0,3,0
Reading disabilities,2,0,1,0
Post-event processing,0,2,1,0
Mere exposure,0,0,3,0
Sensorimotor synchronization,0,0,3,0
Face naming,0,1,2,0
transcranial direct current stimulation,0,0,2,1
Orienting,0,1,1,1
Numerosity perception,1,2,0,0
Fictive motion,0,1,2,0
Closed head injury,1,2,0,0
N100,0,1,2,0
top-down control,0,2,1,0
Prenatal Alcohol Exposure,0,1,2,0
Prolactin,0,1,2,0
item response theory,1,1,1,0
Mirrors,1,1,1,0
Dementia of Alzheimer's type,0,0,2,1
visualization,0,1,2,0
Orbitofrontal,1,0,2,0
Kinesthetic imagery,1,1,1,0
picture naming,1,0,2,0
Outcomes research,0,1,2,0
Dwarf goat,0,1,2,0
RTMS,2,0,1,0
Reference memory,0,0,2,1
Lip-reading,2,1,0,0
Addition,1,0,1,1
Attentional networks,0,1,2,0
Evidence accumulation,1,1,1,0
Swarm cognition,0,0,2,1
face,1,1,1,0
Forensic science,0,2,1,0
Diagnostic reasoning,0,1,2,0
Phonological,0,2,1,0
Maternal,0,0,2,0
Capacity limits,1,1,0,1
Social behaviour,1,2,0,0
outcomes,2,1,0,0
Cognitive maps,1,2,0,0
Multisensory interaction,0,2,1,0
Involuntary attention,1,1,1,0
Multiple-object tracking,3,0,0,0
Visual-spatial attention,1,1,1,0
Theta band,0,1,2,0
Congruity effect,1,2,0,0
Cholecystectomy,1,1,0,1
sex differences,0,1,1,1
Early development,1,1,1,0
Clinical phenotype,0,2,1,0
Visuomotor mental rotation,0,1,2,0
Concreteness,1,1,1,0
Electroencephalogram (EEG),1,0,0,2
Sensory modalities,0,1,0,2
?-amyloid,0,0,2,1
Neuroeconomics,1,0,2,0
Movement planning,1,1,1,0
Asperger Syndrome,2,1,0,0
Functional networks,1,1,1,0
Autism spectrum disorder (ASD),1,0,2,0
Speed-accuracy trade-off,0,0,2,1
Diffusion model,1,0,2,0
Systemizing,1,2,0,0
Rolandic epilepsy,1,1,0,1
Weber fraction,0,1,1,1
Associations,1,1,1,0
Accommodations,0,1,2,0
verbal memory,0,1,2,0
Emotional pictures,0,0,2,1
Hippocampal volume,0,1,2,0
Subtypes,1,2,0,0
Extrastriate cortex,1,0,1,1
Mental disorders,1,0,1,1
Automatic processes,1,0,2,0
event-related brain potentials,0,1,2,0
cocaine,0,2,1,0
fNIRS,1,1,0,1
Dendritic spines,1,1,0,1
Driving cessation,0,0,3,0
Hemispheric laterality,0,0,3,0
Fear of spiders,2,0,0,1
Hemispheric lateralization,0,2,1,0
Pictorial representation,2,1,0,0
Attractor network,0,0,3,0
Honeybee,2,1,0,0
Hepatitis C virus,0,1,1,0
Ventral premotor cortex,0,2,1,0
CBT,1,1,1,0
Causal reasoning,1,0,2,0
Practice effects,0,0,2,1
Evolutionary robotics,0,1,2,0
Load,0,0,3,0
Memory development,0,2,1,0
Biological and Chemical Sciences",0,0,0,0
Diffusion weighted imaging,1,0,0,2
ANS,2,0,0,1
alertness,0,2,1,0
Symbolic,0,1,1,1
Value,0,2,1,0
Chunking,1,0,2,0
Late positive component,0,1,2,0
Amnestic,1,2,0,0
Oestrogen,2,0,1,0
autism spectrum disorder,1,1,1,0
Memory impairment,1,0,1,1
Place cells,0,0,2,1
Navon,1,2,0,0
Morphological processing,1,1,1,0
Consistency,2,0,1,0
communication,1,0,0,2
Subarachnoid hemorrhage,1,1,1,0
fibromyalgia,0,1,1,1
Hot flashes,0,1,2,0
Diffusion-weighted imaging,1,1,1,0
color,0,1,1,1
Repetition,1,2,0,0
Continuous variables,1,2,0,0
Alcohol use,0,1,1,1
Semantic fluency,0,1,2,0
Mate choice,2,0,1,0
Numerical competence,0,1,0,2
Bimodal,1,1,1,0
Alzheimer's Disease,2,1,0,0
prefrontal,0,1,2,0
Action effects,1,0,2,0
Myo-inositol,1,1,1,0
Cognition test,1,2,0,0
Cognitive factors,1,1,1,0
Event-related brain potentials (ERPs),1,0,1,1
Matching to sample,0,1,2,0
K-means clustering,1,2,0,0
analgesia,1,1,0,1
Global-local processing,0,1,1,1
MR spectroscopy,0,2,1,0
Vision impairment,0,0,2,1
Mental rotations,0,1,1,1
Weight,0,1,0,2
Scale,0,0,2,1
tests,1,0,1,1
Ecological validity,0,1,2,0
Sense of direction,0,1,1,1
Cluster,0,1,2,0
Detection/discrimination,0,1,2,0
monkey,3,0,0,0
Hypoplastic left heart syndrome,1,2,0,0
Ventral striatum,0,0,3,0
Mental set,0,3,0,0
Status,2,0,1,0
Action video games,0,0,1,2
Pathophysiology,0,2,1,0
Mushroom body,0,0,3,0
neural networks,1,1,0,1
Facial emotion processing,1,2,0,0
Event related potentials (ERPs),1,1,1,0
Exemplars,1,1,1,0
magnetoencephalography,1,1,1,0
Subsequent memory,0,1,2,0
ApoE,1,1,1,0
Pre-SMA,0,1,2,0
Sleep disturbance,0,1,1,1
Mini-Mental State Examination,0,1,1,1
Anorexia Nervosa,0,0,3,0
Future thinking,0,0,2,1
Theory of mind (ToM),1,1,1,0
