Old Title,Abstract ,,,,,,,,,,,,Title
PLoS ONE,,,,,,,,,,,,,dengineering
Acta Medica Mediterranea,Posterior parietal cortex; Pseudoneglect; Spatial neglect; Transcranial direct current stimulation; Transcranial magnetic stimulation,,,,,,,,,,,,dsocial science
Proceedings of the National Academy of Sciences of the United States of America,,,,,,,,,,,,,dsocial science
Frontiers in Human Neuroscience,Body ownership; Multisensory 14 integration; Multisensory stimulation; Pain modulation; Pain threshold; Virtual arm; Virtual reality,,,,,,,,,,,,d-lifescience
"Journal of Mechanical Design, Transactions of the ASME",Design cognition; Engineering design skills; Ideation; Standardized tests; Visual thinking,,,,,,,,,,,,dmedicine
NeuroImage,Crossmodal interaction; Haptic; Somatosensory cortex; Texture processing; Visual; Visual cortex,,,,,,,,,,,,dmedicine
Journal of Neurophysiology,Antisaccade; Decision making; Executive function; Fixation; Microsaccade,,,,,,,,,,,,dmedicine
Journal of the Neurological Sciences,Brief repeatable battery; Cognitive functions; Cognitive impairment index; Executive functions; Multiple sclerosis; Verbal fluency,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dengineering
Computer Vision and Image Understanding,Attention selection; Hole-filter; PCNN; Quaternion; Saliency map; Topological properties; TPA,,,,,,,,,,,,dengineering
Handbook of Clinical Neurology,Coma; Intracranial pressure; Pathophysiology; Retinopathy; Sequelae,,,,,,,,,,,,dengineering
NeuroReport,,,,,,,,,,,,,dsocial science
Frontiers in Human Neuroscience,Auditory distraction; Control of attention; Event-related brain potentials; Mismatch negativity (MMN); P3a; Predictive coding; Reorienting negativity (RON),,,,,,,,,,,,dsocial science
PLoS ONE,,,,,,,,,,,,,d-lifescience
NeuroQuantology,Cognition; Consciousness; Epistemic faculty of consciousness; Neurocatalysis; Neurosonemic field; Sense-sound continuum,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dmedicine
Frontiers in Human Neuroscience,Attention; Extinction; Motivation; Music; Neglect; Reward; Striatum,,,,,,,,,,,,dmedicine
Frontiers in Human Neuroscience,Alcohol-dependence; Crossmodal; Emotion; Face; Social cognition; Voice,,,,,,,,,,,,dmedicine
 and psychopathology (1991) J. Abnorm. Psychol, D.C.,,,,,,,,,,,,dengineering
Behavioural Brain Research,Electromyography; Emotion processing; Mirror neurons; Social cognition; Transcranial magnetic stimulation,,,,,,,,,,,,dengineering
Journal of Behavior Therapy and Experimental Psychiatry,Control theory; Goals; Rumination; Self-regulation,,,,,,,,,,,,dengineering
Visual Cognition,Consistency; Experience; Performance; Visual search,,,,,,,,,,,,dsocial science
Frontiers in Human Neuroscience,22q11.2; Action simulation; Auditory hallucinations; Perspective-taking,,,,,,,,,,,,dsocial science
PLoS ONE,,,,,,,,,,,,,d-lifescience
PLoS ONE,,,,,,,,,,,,,dmedicine
Neurocase,Cognition; Glioma; Multimodal processing; Naming; Plasticity,,,,,,,,,,,,dmedicine
Neurocase,fMRI; Language; Left hemispherectomy; Prefrontal cortex; Reading; Visual word form area,,,,,,,,,,,,dmedicine
Memory and Cognition,False memory; Implicit memory; Object recognition; Priming; Source monitoring,,,,,,,,,,,,dmedicine
Memory and Cognition,Grounded cognition; Magnitude representation; Mental representation; Number representation; Word problem solving,,,,,,,,,,,,dengineering
PLoS ONE,,,,,,,,,,,,,dengineering
"Attention, Perception, and Psychophysics",Capacity; Object identification; Object individuation; Sensory memory; Visual masking; Visual working memory,,,,,,,,,,,,dengineering
"Attention, Perception, and Psychophysics",Motion integration; Music cognition; Sound recognition; Visual perception,,,,,,,,,,,,dsocial science
Proceedings of the National Academy of Sciences of the United States of America,Association cortices; Quantity; Single-unit recording,,,,,,,,,,,,dsocial science
Frontiers in Human Neuroscience,Arousal; Attention control; Attention deficits; Default mode network; Fluctuations; Frontoparietal; Network dynamics; Neuromodulation,,,,,,,,,,,,d-lifescience
Frontiers in Human Neuroscience,Dual-task interference; Medial prefrontal cortex; Motor timing; Sensorimotor synchronization; Temporal prediction,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dmedicine
"Attention, Perception, and Psychophysics",Face perception; Face recognition; Perceptual organization,,,,,,,,,,,,dmedicine
"Journal of Logic, Language and Information",Language processing; Logical form; Psycholinguistics; Quantification; Semantics-cognition interface; Slavic,,,,,,,,,,,,dengineering
Psychology and Neuroscience,Cognition; Emotion; Neuropsychology; Stimulus,,,,,,,,,,,,dengineering
American Journal of Primatology,Camouflage; Multicomponent signaling; Non-human primate perception; Pattern; Shape analysis; Visual signaling,,,,,,,,,,,,dengineering
Progress in Neuro-Psychopharmacology and Biological Psychiatry,Anger; Emotion; Fear; Schizophrenia; Social cognition; Visual processing,,,,,,,,,,,,dsocial science
International Journal of Psychophysiology,Aging; Diffusion model; Motion onset VEPs; N2; P1; Perception of motion,,,,,,,,,,,,dsocial science
Acta Psychologica,Audiovisual priming; Grounded cognition; Masking; Memory; Perception,,,,,,,,,,,,d-lifescience
Brain Injury,Accommodations; Attention; Cognitive-linguistic; Pediatric; Traumatic brain injury,,,,,,,,,,,,dmedicine
Brain Stimulation,Cognition; Neuroplasticity; Non-invasive brain stimulation (NIBS); tES; Transcranial direct current stimulation (tDCS); Transcranial random noise stimulation (tRNS); Visual perceptual learning (VPL),,,,,,,,,,,,dmedicine
Annals of Indian Academy of Neurology,Alzheimers disease; neuropsychological test; visual rating scale,,,,,,,,,,,,dmedicine
Journal of Autism and Developmental Disorders,Autism; Autism spectrum quotient; Complexity; Spatial configuration; Visual short-term memory,,,,,,,,,,,,dmedicine
Cortex,Mental representation; Semantics; Simultanagnosia; Spatial cognition,,,,,,,,,,,,dengineering
Environmental Impact Assessment Review,Audio-visual approach; Immersive virtual reality; Motorways; Noise assessment; Soundscape,,,,,,,,,,,,dengineering
Brain and Cognition,Autism spectrum disorders; Object substitution; Social cognition; Spatio-temporal processing; Visual masking,,,,,,,,,,,,dengineering
Schizophrenia Bulletin,cognitive impairments; herpes simplex virus; neurotropic viruses; psychosis; therapeutics; valacyclovir,,,,,,,,,,,,dsocial science
Developmental Psychology,Essentialism; Infancy; Object individuation,,,,,,,,,,,,dsocial science
Infancy,,,,,,,,,,,,,d-lifescience
International Journal of Psychophysiology,ERP; Independent component analysis; P3 NoGo; Reliability,,,,,,,,,,,,dmedicine
Cortex,Action; Number-space; Simon effect; Spatial attention; Synesthesia,,,,,,,,,,,,dmedicine
Evolution and Human Behavior,Human evolution; Interest in infants; Sex differences; Visual attention,,,,,,,,,,,,dmedicine
Pain Research and Management,Attribution styles; Controllability; Pain intensity,,,,,,,,,,,,dmedicine
NeuroImage,Attention; Hippocampus; Long-term memory; PFC; Working memory,,,,,,,,,,,,dengineering
Brain Topography,Functional connectomics; Microstates; Mining brain dynamics; Symbolic dynamics,,,,,,,,,,,,dengineering
European Journal of Neurology,Assessment; Cognitive function; Intraventricular hemorrhage; Moyamoya disease,,,,,,,,,,,,dengineering
Psycho-Oncology,breast cancer; chemotherapy; cognitive changes; dose-response relationship; neuropsychological testing; oncology,,,,,,,,,,,,dsocial science
Psychophysiology,Cognition; Decision making; EMG; Normal volunteers; Transcranial magnetic stimulation; Visual choice,,,,,,,,,,,,dsocial science
Journal of Clinical Neuroscience,Brain atrophy; Cognitive dysfunction; Hyperphagia; Hypersomnia; Kleine-Levin syndrome,,,,,,,,,,,,d-lifescience
Neuropsychopharmacology,cognitive impairment; JAK2/STAT3; klotho gene; long-term potentiation; M1 mAChR; PKC/ERK/CREB/BDNF,,,,,,,,,,,,dmedicine
Cortex,Attention; Distraction; Event-related potentials; Executive control; Pain,,,,,,,,,,,,dmedicine
Quarterly Journal of Experimental Psychology,Art; Autism; Drawing ability; Expertise; Local and global processing,,,,,,,,,,,,dmedicine
Journal of Head Trauma Rehabilitation,amantadine; concussion; postconcussion symptoms,,,,,,,,,,,,dmedicine
Clinical Neuropsychologist,Allocentric neglect; Egocentric neglect; Figurative discrimination tasks; Spatial neglect; Stroke,,,,,,,,,,,,dengineering
Neurosurgery,Neurocognition; Neuropsychiatry; Pain; Stereotactic surgery; Thalamus,,,,,,,,,,,,dengineering
Orthopedics,,,,,,,,,,,,,dengineering
Nephrology Dialysis Transplantation,Cardiovascular disease; Chronic kidney disease; Cognitive performance; Estimated glomerular filtration rate; Renal disease,,,,,,,,,,,,dsocial science
Current Sociology,15M; cognición; cognition; émotions; emociones; emotions; Espagne; España; identidad; identité; identity; indignados; mouvements sociaux; movimientos sociales; networks; réseaux; redes; social movements; Spain,,,,,,,,,,,,dsocial science
Journal of Neurophysiology,Decision making; Detection task; Frontal cortex; Monkey; Single-unit recording,,,,,,,,,,,,d-lifescience
Clinical Neuropsychologist,Cluster analysis; Geriatric; RBANS,,,,,,,,,,,,dmedicine
Journal of Experimental Psychology: Learning Memory and Cognition,Number concepts; Numerical reasoning; Representations of mathematics,,,,,,,,,,,,dmedicine
Journal of Head Trauma Rehabilitation,athletes; clinical testing; concussion; divided attention; neuropsychological tests; return to play,,,,,,,,,,,,dmedicine
Journal of the American Academy of Dermatology,genodermatosis; ichthyosis; quality of life; questionnaire; score; tool,,,,,,,,,,,,dmedicine
International Psychogeriatrics,age-related cognitive decline; dementia; education,,,,,,,,,,,,dengineering
Addiction Biology,Attention; cognition; impulsivity; nicotine; smoking; tobacco,,,,,,,,,,,,dengineering
Journal of Palliative Medicine,,,,,,,,,,,,,dengineering
Journal of Autism and Developmental Disorders,Autism; Fast-mapping; Fragile X syndrome; Language development; Vocabulary,,,,,,,,,,,,dsocial science
Psycho-Oncology,cancer; cognitive function; neuropsychology; oncology; stem cell transplantation,,,,,,,,,,,,dsocial science
International Psychogeriatrics,comorbidity; dementia; health status; older adults; quality of life,,,,,,,,,,,,d-lifescience
Indian Journal of Psychiatry,Cognitive function; elderly; yoga,,,,,,,,,,,,dmedicine
Child Development,,,,,,,,,,,,,dmedicine
Journal of Thoracic and Cardiovascular Surgery,,,,,,,,,,,,,dmedicine
Neuropsychologia,Cognitive dysfunction; Parkinson's disease; Premotor cortex; Serial prediction task; Supplementary motor area,,,,,,,,,,,,dmedicine
Neurorehabilitation and Neural Repair,balance; crossover trial; multiple sclerosis; neurorehabilitation; static posturography; visual feedback; Wii Balance Board,,,,,,,,,,,,dengineering
Infancy,,,,,,,,,,,,,dengineering
Brain Injury,Children; Cognitive functioning; Traumatic brain injury,,,,,,,,,,,,dengineering
Personality and Individual Differences,Genetic risk score; Mental rotation; Schizophrenia risk alleles; Schizotypy; Vocabulary,,,,,,,,,,,,dsocial science
Brain and Cognition,AI; AMCC; Empathy for pain; Exposure to violence,,,,,,,,,,,,dsocial science
Schizophrenia Research,Categorization; Facial emotion perception; Schizophrenia; Social context,,,,,,,,,,,,d-lifescience
Journal of Head Trauma Rehabilitation,electroencephalography; mTBI; neuroimaging; sports concussion; TBI Index,,,,,,,,,,,,dmedicine
Neurosurgical Review,Anterior callosal section; Anterior interhemispheric approach; Third ventricle,,,,,,,,,,,,dmedicine
Journal of the International Neuropsychological Society,Autism spectrum; Executive functions; Psychosis; Response inhibition; Schizophrenia spectrum; Schizotypy,,,,,,,,,,,,dmedicine
Age and Ageing,Accidental falls; Confusion; Frailty; Hospital incident reporting; Older people,,,,,,,,,,,,dmedicine
Applied Animal Behaviour Science,Dogs; Gazing behaviour; Pathological anxiety; Problem solving,,,,,,,,,,,,dengineering
Brain Structure and Function,Cognitive performance; Cortical thickness; MRI; Multiple sclerosis; Superior temporal gyrus,,,,,,,,,,,,dengineering
Epidemiology,,,,,,,,,,,,,dengineering
The American psychologist,,,,,,,,,,,,,dsocial science
International Journal of Industrial Ergonomics,Cognitive mapping; Human factors; Macroergonomics; Strategic goals,,,,,,,,,,,,dsocial science
Zeitschrift für Kinder- und Jugendpsychiatrie und Psychotherapie,,,,,,,,,,,,,d-lifescience
Sleep Medicine,Cognitive function; Fast rotation; Nurse; Shift work; Sleep propensity; Sleep-related hormone,,,,,,,,,,,,dmedicine
Jisuanji Fuzhu Sheji Yu Tuxingxue Xuebao/Journal of Computer-Aided Design and Computer Graphics,Color encoding; Shape encoding; Time pressure; Visual cognitive capacity,,,,,,,,,,,,dmedicine
Archives of Gerontology and Geriatrics,Brain neuroimaging; Circulatory system; Cognitive aging; Nervous system; Neuropsychological assessment; Physical health,,,,,,,,,,,,dmedicine
American Journal of Sports Medicine,concussion; headache; migraine; mild traumatic brain injury; sports; symptoms,,,,,,,,,,,,dmedicine
Brain and Cognition,Aging; Cerebellum; Cognitive training; Longitudinal; MRI; Plasticity; Vascular risk,,,,,,,,,,,,dengineering
Journal of Athletic Training,Athletes; Concussions; Intraclass correlation; Mild traumatic brain injuries; Neuropsychological testing,,,,,,,,,,,,dengineering
JAMA Ophthalmology,,,,,,,,,,,,,dengineering
Journal of the International Neuropsychological Society,Cerebral hemorrhage; Cognitive impairment; Dopaminergic neurons; Neuropsychological tests; Secondary parkinsonism; Substantia nigra,,,,,,,,,,,,dsocial science
Neurological Sciences,Analytic cognitive style; Habituation; Information processing; Migraine; Sternberg-Wagner Self-assessment inventory,,,,,,,,,,,,dsocial science
Psychiatry Research - Neuroimaging,Early visual processing; Emotion; FMRI; Schizophrenia; Social cognition,,,,,,,,,,,,d-lifescience
Psychiatry Research,Insight; Objective coercion; Subjective coercion,,,,,,,,,,,,dmedicine
Frontiers in Human Neuroscience,Lexical decision; Reading; Semantic decision; Source estimation; Top-down control,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dmedicine
Neuron,,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dengineering
PLoS ONE,,,,,,,,,,,,,dengineering
Chinese Medical Journal,Alerting network; Attentional networks; Executive control network; Gender; Orienting network,,,,,,,,,,,,dengineering
Journal of Behavior Therapy and Experimental Psychiatry,Analogue trauma; Cognitive load; Intrusive memory; Voluntary memory,,,,,,,,,,,,dsocial science
Neural Regeneration Research,Cognitive function; Emotion; Functional MRI; Grants-supported paper; Major depressive disorder; Neural regeneration; Neuroimaging; Neuroregeneration; Occipital lobe,,,,,,,,,,,,dsocial science
Memory and Cognition,Spatial cognition,,,,,,,,,,,,d-lifescience
Journal of Neuroscience,,,,,,,,,,,,,dmedicine
Accident Analysis and Prevention,Aging Street-crossing; Functional predictors; Safety; Simulator,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dmedicine
Journal of Pain Research,ERP; Hypervigilance for pain; LPC; Pain face; Primary task,,,,,,,,,,,,dmedicine
Research in Autism Spectrum Disorders,Autism spectrum disorders; Eye-tracking; Eyes; Gaze direction; Heart rate; Skin conductance response,,,,,,,,,,,,dengineering
Trials,Breast; Exercise; Neoplasm; Telerehabilitation,,,,,,,,,,,,dengineering
Yale Journal of Biology and Medicine,Autism; fMRI; Functional connectivity; Functional underconnectivity; Mindblindness; Visuospatial processing; Weak central coherence,,,,,,,,,,,,dengineering
PLoS ONE,,,,,,,,,,,,,dsocial science
Klinicheskaia meditsina,,,,,,,,,,,,,dsocial science
Frontiers in Neuroscience,,,,,,,,,,,,,d-lifescience
Frontiers in Psychology,Embodied cognition; Hand posture; Power grasp; Precision grasp; Visual attention; Visual processing near hands,,,,,,,,,,,,dmedicine
Proceedings of the National Academy of Sciences of the United States of America,,,,,,,,,,,,,dmedicine
Current Neurology and Neuroscience Reports,ATP13A2; Batten disease; Cathepsin F; CLN6; CSP?; DNAJC5; Endosome; Frontotemporal lobar degeneration; FTLD; KCTD7; Kufs disease; Lysosomal disease; Lysosome; NCL; Neuronal ceroid lipofuscinosis; Parkinson's disease; Parkinsonism; Progranulin; Saposin; Subunit c,,,,,,,,,,,,dmedicine
Frontiers in Human Neuroscience,Gestalt; Global perception; Kanizsa; Perceptual grouping; Visual constancy; Visual context,,,,,,,,,,,,dmedicine
Journal of Alzheimer's Disease,A?; Alzheimer's disease; cerebrospinal fluid; hTau; MR spectroscopy; pTau,,,,,,,,,,,,dengineering
Computer-Aided Design and Applications,Cognition; Computer-aided innovation; Emotion; Engineering design; HCI,,,,,,,,,,,,dengineering
American Journal of Epidemiology,choline; cognition; folate; memory; pregnancy,,,,,,,,,,,,dengineering
Journal of Applied Physiology,ACh immunohistochemistry; Classical conditioning; Mice; Operant conditioning; Simulated altitude; Spatial learning,,,,,,,,,,,,dsocial science
Journal of Neurophysiology,Action selection; Computational models; Cortico-basal ganglia loops; Dopamine; Learning,,,,,,,,,,,,dsocial science
Frontiers in Systems Neuroscience,,,,,,,,,,,,,d-lifescience
Frontiers in Systems Neuroscience,EEG; ERP; Eye fixation related potential; Eye tracking; fMRI; Gaze-contingent display changes; Projector,,,,,,,,,,,,dmedicine
Frontiers in Human Neuroscience,5-HTTLPR; Anxiety; Eye-gaze; fMRI; Positive affect; Prefrontal cortex (PFC); Stroop,,,,,,,,,,,,dmedicine
Journal of Green Engineering,Aging; Cognition; Heart rate variability,,,,,,,,,,,,dmedicine
Journal of Scientific and Industrial Research,Audio Visual Stimulation; Light Sound Stimulation; Mind Machines,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dengineering
Computers in Human Behavior,Cognition; Learner roles; Video games,,,,,,,,,,,,dengineering
Frontiers in Human Neuroscience,Human brain; Motor; Oscillations; TACS; Visual,,,,,,,,,,,,dengineering
Journal of Abnormal Psychology,Emotion perception; Schizophrenia; Social cognition,,,,,,,,,,,,dsocial science
BMC Psychiatry,,,,,,,,,,,,,dsocial science
Proceedings of the Royal Society B: Biological Sciences,Cognitive development; Infant development; Parent-child interaction; Social cognition; Social communication; Visual impairment,,,,,,,,,,,,d-lifescience
Journal of Neurophysiology,Attention; Decision making; Electroencephalography; Steady-state visual evoked potentials,,,,,,,,,,,,dmedicine
Vision Research,Eye movements; Feature-based attention; Intertrial effects; Motion perception; Pre-saccadic attention; Spatial attention,,,,,,,,,,,,dmedicine
Frontiers in Human Neuroscience,,,,,,,,,,,,,dmedicine
Experimental Brain Research,Affordances; Canonical neurons; Dangerous objects; Embodied cognition; Graspability; Line bisection task; Motor simulation,,,,,,,,,,,,dmedicine
PLoS ONE,,,,,,,,,,,,,dengineering
Journal of the National Cancer Institute,,,,,,,,,,,,,dengineering
Journal of Vision,Detection; Discrimination; Face recognition; Object recognition; Visual cognition,,,,,,,,,,,,dengineering
Journal of Vision,Captions; Cognition; Event perception; Eye movements; Movies; Multi-sensory integration; Narration; Reading; Saccades; Saccadic eye movements; Salience models; Videos,,,,,,,,,,,,dsocial science
International Journal of Engineering Education,Engineering Education (EE); Geoinformation; Human Computer Interaction (HCI); Usability Engineering (UE); VPA Archival Management System (VAMS),,,,,,,,,,,,dsocial science
European Journal of Pharmacology,Acquisition; Adult mice; Consolidation; Ketamine/midazolam combination; Memory; Recall,,,,,,,,,,,,d-lifescience
European Journal of Cognitive Psychology,Arithmetic rules; Cognitive arithmetic; Retrieval-induced forgetting,,,,,,,,,,,,dmedicine
Human Brain Mapping,Cognition; Consciousness; FMRI; Minimally conscious state; Traumatic brain injury; Vision,,,,,,,,,,,,dmedicine
Optik,Hartmann-Shack sensor; Modulation transfer functions; Visual acuity; Wavefront aberration,,,,,,,,,,,,dmedicine
Wuhan Daxue Xuebao (Xinxi Kexue Ban)/Geomatics and Information Science of Wuhan University,Convex hull calculation; Image labelling; Naive Bayes classifier; Texture features; Vegetation detection,,,,,,,,,,,,dmedicine
Journal of Nervous and Mental Disease,Bipolar disorder; Emotion perception; Insight; Schizophrenia; Social cognition,,,,,,,,,,,,dengineering
British Journal of Educational Psychology,,,,,,,,,,,,,dengineering
Cancer Cytopathology,Cognition; Cytopathology; Pattern recognition; Perceptual learning; Training,,,,,,,,,,,,dengineering
Cognitive Psychology,Number processing; Numerical architecture; Numerical cognition; Numerical distance effect,,,,,,,,,,,,dsocial science
Human Brain Mapping,Allocentric; Collateral sulcus; Direct human recordings; EEG; Egocentric; Frames of reference; Gamma oscillations; Retrosplenial; Spatial cognition; Visual recognition,,,,,,,,,,,,dsocial science
Strabismus,Aging; Alzheimer's disease; Dementia; Orthoptics; Visual acuity,,,,,,,,,,,,d-lifescience
Acta Psychologica,Conjunction search; Executive function; Normal development; Search organization; Search orientation; Visual search,,,,,,,,,,,,dmedicine
Visual Cognition,,,,,,,,,,,,,dmedicine
Reviews in the Neurosciences,Attention; Basal ganglia; Cognition; Gait; Parkinson's disease,,,,,,,,,,,,dmedicine
Behavior Research Methods,Latin alphabets; Letter visual-similarity/confusability matrix; Literacy acquisition; Reading,,,,,,,,,,,,dmedicine
European Neurology,Brief Repeatable Battery of Neuropsychological Tests; Clinically isolated syndrome; CogniCIS study; Multiple sclerosis; Multiple Sclerosis Neuropsychological Questionnaire,,,,,,,,,,,,dengineering
"Genes, Brain and Behavior",COMT (val158)met polymorphism; Dopamine; Face perception; Face recognition; Fluid cognitive ability; Gene-behavior interaction; Genetics; OXTR (rs2268498) polymorphism; Oxytocin; Social abilities,,,,,,,,,,,,dengineering
Visual Cognition,,,,,,,,,,,,,dengineering
Strabismus,,,,,,,,,,,,,dsocial science
Brain and Cognition,2D; 3D; Action; Grasping; Perception; Vision; Weber's law,,,,,,,,,,,,dsocial science
Clinical Autonomic Research,Blood pressure; Cognitive impairment; Heart rate variability; Hypotension; Visuospatial attention,,,,,,,,,,,,d-lifescience
International Journal of Geriatric Psychiatry,Alzheimer's disease; dementia with Lewy bodies; perception; vision,,,,,,,,,,,,dmedicine
Arquivos de Neuro-Psiquiatria,Autoimmune diseases; Depression; Multiple sclerosis; Neuromyelitis optica; Neuropsychology,,,,,,,,,,,,dmedicine
Cognition,Development; Language; Vision; Visual feature binding; Whorf,,,,,,,,,,,,dmedicine
Drug and Alcohol Dependence,Anabolic-androgenic steroids; Apoptosis; Cognitive deficits; Substance abuse; Testosterone; Visuospatial memory,,,,,,,,,,,,dmedicine
Medical Hypotheses,,,,,,,,,,,,,dengineering
Cognition and Emotion,Attention capture; Emotional distraction; Lexical decision,,,,,,,,,,,,dengineering
International Psychogeriatrics,aging; centenarians; dementia; genetics; longevity; methodology; MRI,,,,,,,,,,,,dengineering
Behavioural Brain Research,Enriched environment; Learning and memory; Neurogliovascular unit; Vascularization; VEGF,,,,,,,,,,,,dsocial science
Psychonomic Bulletin and Review,Aesthetic preference; Good gestalt; Music cognition; Perceptual organization; Visual perception,,,,,,,,,,,,dsocial science
Human Development,Categorization; Frame problem; Infancy; Object files; Trajectory recognition; Visual object segregation,,,,,,,,,,,,d-lifescience
Journal of Experimental Child Psychology,Language; Language minority learners; Longitudinal; Mathematical cognition; Mathematical development; Mathematics difficulty,,,,,,,,,,,,dmedicine
Brain and Cognition,Audio-visual; Executive control; Modality switching; Task switching,,,,,,,,,,,,dmedicine
Journal of Medical Primatology,Cynomolgus monkey; Enhanced pre- and post-natal study; Learning and memory; WGTA,,,,,,,,,,,,dmedicine
Cerebral Cortex,auditory; electrophysiology; ERPs; multimodal; visual,,,,,,,,,,,,dmedicine
Experimental Brain Research,Antisaccades; Dual-task; Eye movements; Posture; Prosaccades,,,,,,,,,,,,dengineering
Bipolar Disorders,Bipolar disorder; Cognition; Confirmatory factor analysis; Invariance; Latent variable analysis; Neuropsychology; Schizophrenia,,,,,,,,,,,,dengineering
Cognitive Psychology,Cognitive development; Object cognition; Object indexing; Working memory,,,,,,,,,,,,dengineering
Asian Journal of Psychiatry,Battery; Cognitive; Electroconvulsive therapy; Memory,,,,,,,,,,,,dsocial science
Stroke,Amnesia; Cardiovascular disease; Cross-sectional analysis; Executive function; Risk assessment,,,,,,,,,,,,dsocial science
Psychological Science,attention; consciousness; embodied cognition; object-substitution masking; perception; perihand space; peripersonal space; temporal fusion,,,,,,,,,,,,d-lifescience
Journal of Musculoskeletal Pain,Attention; Cognitive dysfunction; Fibromyalgia; Rheumatoid arthritis,,,,,,,,,,,,dmedicine
Psychogeriatrics,Behavioural and psychological symptoms of dementia; BPSD; Delirium; Opioid,,,,,,,,,,,,dmedicine
Psychological Medicine,Bipolar disorder; cognition; follow-up study; lithium treatment; psychosocial functioning,,,,,,,,,,,,dmedicine
Cortex,Audition; Autism; Multisensory integration; Vision; Visual search,,,,,,,,,,,,dmedicine
Cognition,Human experimentation; Japanese; Mental simulation; Personal pronouns; Perspective; Sentence comprehension,,,,,,,,,,,,dengineering
Infant Behavior and Development,Communicative development; Cross-cultural maternal naming; Extended cognition; Infancy; Multimodal motherese; Scaffolding; Word mapping,,,,,,,,,,,,dengineering
Behavior Research Methods,Auditory; Concepts; Gustatory; Haptic; Norms; Nouns; Olfactory; Perceptual modalities; Sound symbolism; Visual,,,,,,,,,,,,dengineering
Neurodegenerative Diseases,Dementia; Hippocampal atrophy; Homocysteine; Magnetic resonance imaging; Parkinson's disease; Vascular risk factors,,,,,,,,,,,,dsocial science
Addiction,Brain; Cognitive; Gasoline; Inhalant abuse; Neurological; Petrol,,,,,,,,,,,,dsocial science
Acta Psychologica,Action observation; Action perception; Action possibility judgments; Action simulation; Fitts' Law; Social cognition,,,,,,,,,,,,d-lifescience
Journal of Sleep Research,Aging; Insomnia; Working memory,,,,,,,,,,,,dmedicine
Language and Cognitive Processes,Distractor frequency; Language production; Response exclusion; Speaking; Word production,,,,,,,,,,,,dmedicine
Cognitive Neuroscience,Contralateral; Explicit memory; Extrastriate; fMRI; Subsequent memory,,,,,,,,,,,,dmedicine
Neuropsychologia,Basal ganglia; Cognitive; Eye movements; Oculomotor; Task switching,,,,,,,,,,,,dmedicine
Experimental Brain Research,Functional MRI; Primary taste cortex; Taste coding; Top-down influence,,,,,,,,,,,,dengineering
Universal Access in the Information Society,Error taxonomy; Geometry; Guidelines; Haptic,,,,,,,,,,,,dengineering
Journal of Psychopathology,Antidepressant medications; Bipolar disorder; Maintenance treatment; Mood stability; Mood stabilizers,,,,,,,,,,,,dengineering
Language and Cognitive Processes,Lexical competition; Naming; Output buffer; Reading; Selective attention; Word production,,,,,,,,,,,,dsocial science
Journal of Applied Gerontology,driving assessment; driving behavior; mixed methods; older driver,,,,,,,,,,,,dsocial science
NeuroImage,Consciousness; EEG; Error-related negativity; MEG,,,,,,,,,,,,d-lifescience
Journal of Fluency Disorders,ERP; Language processing; N400; P600; Stuttering,,,,,,,,,,,,dmedicine
Cognition and Emotion,Facial emotion recognition; Fractal dimension; Inversion; Other-race,,,,,,,,,,,,dmedicine
Behavioural Processes,Attentive state; Domestic pig; Human-animal interaction; Social cognition,,,,,,,,,,,,dmedicine
Emotion,Anger; Detection; Emotion; Red; Threat,,,,,,,,,,,,dmedicine
European Neuropsychopharmacology,Attention-deficit hyperactivity disorder (ADHD); Go-NoGo; Imaging genetics; Latrophilin 3 (LPHN3); Prefrontal cortex,,,,,,,,,,,,dengineering
Gait and Posture,Attention; Balance; Shooting; Taekwondo,,,,,,,,,,,,dengineering
Cognitive Therapy and Research,Attention; Computerized training; Depression; Executive function; OCD,,,,,,,,,,,,dengineering
Human Brain Mapping,Functional network connectivity; Gender differences; Resting state functional MRI,,,,,,,,,,,,dsocial science
Cognitive Neuropsychology,Attention; Attention deficit hyperactivity disorder adults; Pacemaker-counter clock; Temporal bisection task,,,,,,,,,,,,dsocial science
Adaptive Behavior,Enaction; hallucination; human cognition; representation; sense-making; Turing patterns,,,,,,,,,,,,d-lifescience
Cognitive Neuropsychology,Action comprehension; Embodied cognition; Mirror neurons; Neural simulation; Point-light animations; Upper limb aplasia,,,,,,,,,,,,dmedicine
Social Cognitive and Affective Neuroscience,Implicit social cognition; Self-esteem; Self-referential processing,,,,,,,,,,,,dmedicine
Surgical Innovation,cognition assessment; eye-hand coordination; eye-tracking; human factors in surgery; vigilance,,,,,,,,,,,,dmedicine
Aviation Space and Environmental Medicine,Anxiety; Cortisol; Fire emergency; Memory,,,,,,,,,,,,dmedicine
